roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p07_r0115,28,36,32,40,1.0,1.575932394177214e-06,0.017365628561492086
sio2 all 20 dish white_p07_r0116,28,36,36,44,1.0,1.8323368240440326e-06,0.0173120094959424
sio2 all 20 dish white_p07_r0117,28,36,40,48,1.0,1.670257553973346e-06,0.01725997507300378
sio2 all 20 dish white_p07_r0118,28,36,44,52,1.0,1.4685915807209717e-06,0.017018138894075725
sio2 all 20 dish white_p07_r0119,28,36,48,56,1.0,1.5256247924205832e-06,0.016863039806419594
sio2 all 20 dish white_p07_r0120,28,36,52,60,1.0,1.383492785485077e-06,0.01688032073828784
sio2 all 20 dish white_p07_r0121,28,36,56,64,1.0,1.7103588440213382e-06,0.017227426766984025
sio2 all 20 dish white_p07_r0122,28,36,60,68,1.0,3.5931818517665696e-06,0.018246796868376644
sio2 all 20 dish white_p07_r0123,28,36,64,72,1.0,3.751587797828546e-06,0.019218489319209064
sio2 all 20 dish white_p07_r0124,28,36,68,76,1.0,3.7072188796776715e-06,0.018682539624589024
sio2 all 20 dish white_p07_r0125,28,36,72,80,1.0,5.160937335229863e-06,0.018685193881567426
sio2 all 20 dish white_p07_r0126,28,36,76,84,1.0,8.671727187463197e-06,0.020390797183031537
sio2 all 20 dish white_p07_r0127,28,36,80,88,1.0,5.468503864151295e-06,0.020987941150951657
sio2 all 20 dish white_p07_r0128,28,36,84,92,1.0,2.311413624156669e-06,0.02062863432302732
sio2 all 20 dish white_p07_r0129,28,36,88,96,1.0,2.1503825069461566e-06,0.020200692932521126
sio2 all 20 dish white_p07_r0130,28,36,92,100,1.0,1.7015520017165517e-06,0.019835176582012507
sio2 all 20 dish white_p07_r0131,28,36,96,104,1.0,1.8741186190566784e-06,0.02028753561867234
sio2 all 20 dish white_p07_r0132,28,36,100,108,0.890625,1.5498826578722365e-06,0.02064593030882667
sio2 all 20 dish white_p07_r0133,32,40,4,12,0.9375,7.640589028529271e-05,0.024364140327347704
sio2 all 20 dish white_p07_r0134,32,40,8,16,1.0,6.510135371767991e-06,0.022450856356412297
sio2 all 20 dish white_p07_r0135,32,40,12,20,1.0,6.176360821071797e-06,0.02157052099861887
sio2 all 20 dish white_p07_r0136,32,40,16,24,1.0,5.63210900073783e-06,0.01979474608351067
sio2 all 20 dish white_p07_r0137,32,40,20,28,1.0,2.8390327653066153e-06,0.018810651314994698
sio2 all 20 dish white_p07_r0138,32,40,24,32,1.0,2.459130388826765e-06,0.018861114506137276
sio2 all 20 dish white_p07_r0139,32,40,28,36,1.0,2.231141174716144e-06,0.018538638130964187
sio2 all 20 dish white_p07_r0140,32,40,32,40,1.0,2.1672507015571984e-06,0.01818489819405489
sio2 all 20 dish white_p07_r0141,32,40,36,44,1.0,2.2704837039891786e-06,0.018190624125703117
