roi_id,specimen,material,split,score_iforest
sio2 all 20 dish white_p01_r0181,sio2 all 20 dish white_p01,sio2,train,0.4384166730541973
sio2 all 20 dish white_p01_r0182,sio2 all 20 dish white_p01,sio2,train,0.43687706176678126
sio2 all 20 dish white_p01_r0183,sio2 all 20 dish white_p01,sio2,train,0.4451625383327522
sio2 all 20 dish white_p01_r0184,sio2 all 20 dish white_p01,sio2,train,0.4524258101765635
sio2 all 20 dish white_p01_r0185,sio2 all 20 dish white_p01,sio2,train,0.44328654628183045
sio2 all 20 dish white_p01_r0186,sio2 all 20 dish white_p01,sio2,train,0.43763399898983507
sio2 all 20 dish white_p01_r0187,sio2 all 20 dish white_p01,sio2,train,0.4361868927893687
sio2 all 20 dish white_p01_r0188,sio2 all 20 dish white_p01,sio2,train,0.43005833306352764
sio2 all 20 dish white_p01_r0189,sio2 all 20 dish white_p01,sio2,train,0.5124211448490982
sio2 all 20 dish white_p01_r0190,sio2 all 20 dish white_p01,sio2,train,0.5598228366329675
sio2 all 20 dish white_p01_r0191,sio2 all 20 dish white_p01,sio2,train,0.5438312868265328
sio2 all 20 dish white_p01_r0192,sio2 all 20 dish white_p01,sio2,train,0.4715729397788592
sio2 all 20 dish white_p01_r0193,sio2 all 20 dish white_p01,sio2,train,0.45159864242516634
sio2 all 20 dish white_p01_r0194,sio2 all 20 dish white_p01,sio2,train,0.42875060852599967
sio2 all 20 dish white_p01_r0195,sio2 all 20 dish white_p01,sio2,train,0.41494060498228635
sio2 all 20 dish white_p01_r0196,sio2 all 20 dish white_p01,sio2,train,0.41179515337024875
sio2 all 20 dish white_p01_r0197,sio2 all 20 dish white_p01,sio2,train,0.4452998210825042
sio2 all 20 dish white_p01_r0198,sio2 all 20 dish white_p01,sio2,train,0.40929944973534693
sio2 all 20 dish white_p01_r0199,sio2 all 20 dish white_p01,sio2,train,0.4066856128181055
sio2 all 20 dish white_p01_r0200,sio2 all 20 dish white_p01,sio2,train,0.41426423470001633
sio2 all 20 dish white_p01_r0201,sio2 all 20 dish white_p01,sio2,train,0.4127616642181941
sio2 all 20 dish white_p01_r0202,sio2 all 20 dish white_p01,sio2,train,0.41709802010540986
sio2 all 20 dish white_p01_r0203,sio2 all 20 dish white_p01,sio2,train,0.44015561919861623
sio2 all 20 dish white_p01_r0204,sio2 all 20 dish white_p01,sio2,train,0.4493210322467818
sio2 all 20 dish white_p01_r0205,sio2 all 20 dish white_p01,sio2,train,0.456195236300698
sio2 all 20 dish white_p01_r0206,sio2 all 20 dish white_p01,sio2,train,0.45460039502997857
sio2 all 20 dish white_p01_r0207,sio2 all 20 dish white_p01,sio2,train,0.45168347167128275
sio2 all 20 dish white_p01_r0208,sio2 all 20 dish white_p01,sio2,train,0.47622633088882627
sio2 all 20 dish white_p01_r0209,sio2 all 20 dish white_p01,sio2,train,0.521767681054555
sio2 all 20 dish white_p01_r0210,sio2 all 20 dish white_p01,sio2,train,0.5358917207079561
sio2 all 20 dish white_p01_r0211,sio2 all 20 dish white_p01,sio2,train,0.5476894943153201
sio2 all 20 dish white_p01_r0212,sio2 all 20 dish white_p01,sio2,train,0.5551539786530613
sio2 all 20 dish white_p01_r0213,sio2 all 20 dish white_p01,sio2,train,0.5915433687759222
sio2 all 20 dish white_p01_r0214,sio2 all 20 dish white_p01,sio2,train,0.4289253774270402
sio2 all 20 dish white_p01_r0215,sio2 all 20 dish white_p01,sio2,train,0.4405744345362293
sio2 all 20 dish white_p01_r0216,sio2 all 20 dish white_p01,sio2,train,0.4457687459622315
